J 	 kT 	 kQ 	 kP 	 etaP 
3.968275e-01 	 2.265727e-01 	 2.518975e-02 	 1.582719e-01 	 5.680749e-01 
3.982564e-01 	 2.261734e-01 	 2.517432e-02 	 1.581749e-01 	 5.694646e-01 
3.996854e-01 	 2.257734e-01 	 2.515875e-02 	 1.580771e-01 	 5.708502e-01 
4.011144e-01 	 2.253732e-01 	 2.514309e-02 	 1.579787e-01 	 5.722318e-01 
4.025434e-01 	 2.249744e-01 	 2.512750e-02 	 1.578807e-01 	 5.736099e-01 
4.039724e-01 	 2.245730e-01 	 2.511159e-02 	 1.577808e-01 	 5.749831e-01 
4.054013e-01 	 2.241712e-01 	 2.509558e-02 	 1.576802e-01 	 5.763521e-01 
4.068303e-01 	 2.237684e-01 	 2.507941e-02 	 1.575786e-01 	 5.777168e-01 
4.082593e-01 	 2.233682e-01 	 2.506340e-02 	 1.574780e-01 	 5.790787e-01 
4.096883e-01 	 2.229649e-01 	 2.504704e-02 	 1.573752e-01 	 5.804353e-01 
4.111173e-01 	 2.225612e-01 	 2.503056e-02 	 1.572716e-01 	 5.817879e-01 
4.125462e-01 	 2.221561e-01 	 2.501389e-02 	 1.571669e-01 	 5.831360e-01 
4.139752e-01 	 2.217513e-01 	 2.499717e-02 	 1.570619e-01 	 5.844803e-01 
4.154042e-01 	 2.213487e-01 	 2.498058e-02 	 1.569576e-01 	 5.858216e-01 
4.168332e-01 	 2.209428e-01 	 2.496360e-02 	 1.568509e-01 	 5.871579e-01 
4.182622e-01 	 2.205364e-01 	 2.494653e-02 	 1.567437e-01 	 5.884899e-01 
4.196911e-01 	 2.201297e-01 	 2.492933e-02 	 1.566356e-01 	 5.898178e-01 
4.211201e-01 	 2.197221e-01 	 2.491200e-02 	 1.565267e-01 	 5.911414e-01 
4.225491e-01 	 2.193170e-01 	 2.489481e-02 	 1.564187e-01 	 5.924622e-01 
4.239781e-01 	 2.189093e-01 	 2.487731e-02 	 1.563088e-01 	 5.937783e-01 
4.254071e-01 	 2.185003e-01 	 2.485962e-02 	 1.561976e-01 	 5.950897e-01 
4.268360e-01 	 2.180911e-01 	 2.484182e-02 	 1.560858e-01 	 5.963973e-01 
4.282650e-01 	 2.176812e-01 	 2.482390e-02 	 1.559732e-01 	 5.977007e-01 
4.296940e-01 	 2.172733e-01 	 2.480609e-02 	 1.558613e-01 	 5.990008e-01 
4.311230e-01 	 2.168626e-01 	 2.478793e-02 	 1.557472e-01 	 6.002963e-01 
4.325520e-01 	 2.164513e-01 	 2.476964e-02 	 1.556323e-01 	 6.015875e-01 
4.339809e-01 	 2.160392e-01 	 2.475121e-02 	 1.555165e-01 	 6.028745e-01 
4.354099e-01 	 2.156291e-01 	 2.473290e-02 	 1.554014e-01 	 6.041584e-01 
4.368389e-01 	 2.152162e-01 	 2.471423e-02 	 1.552841e-01 	 6.054374e-01 
4.382679e-01 	 2.148027e-01 	 2.469544e-02 	 1.551660e-01 	 6.067123e-01 
4.396969e-01 	 2.143883e-01 	 2.467648e-02 	 1.550469e-01 	 6.079829e-01 
4.411258e-01 	 2.139746e-01 	 2.465750e-02 	 1.549276e-01 	 6.092504e-01 
4.425548e-01 	 2.135625e-01 	 2.463862e-02 	 1.548090e-01 	 6.105144e-01 
4.439838e-01 	 2.131469e-01 	 2.461932e-02 	 1.546877e-01 	 6.117731e-01 
4.454128e-01 	 2.127310e-01 	 2.459991e-02 	 1.545658e-01 	 6.130279e-01 
4.468418e-01 	 2.123147e-01 	 2.458037e-02 	 1.544430e-01 	 6.142787e-01 
4.482707e-01 	 2.118977e-01 	 2.456070e-02 	 1.543194e-01 	 6.155255e-01 
4.496997e-01 	 2.114803e-01 	 2.454091e-02 	 1.541951e-01 	 6.167683e-01 
4.511287e-01 	 2.110624e-01 	 2.452100e-02 	 1.540700e-01 	 6.180070e-01 
4.525577e-01 	 2.106462e-01 	 2.450117e-02 	 1.539454e-01 	 6.192425e-01 
4.539867e-01 	 2.102278e-01 	 2.448106e-02 	 1.538190e-01 	 6.204735e-01 
4.554156e-01 	 2.098084e-01 	 2.446076e-02 	 1.536915e-01 	 6.217002e-01 
4.568446e-01 	 2.093878e-01 	 2.444027e-02 	 1.535627e-01 	 6.229226e-01 
4.582736e-01 	 2.089674e-01 	 2.441971e-02 	 1.534336e-01 	 6.241414e-01 
4.597026e-01 	 2.085465e-01 	 2.439903e-02 	 1.533036e-01 	 6.253561e-01 
4.611316e-01 	 2.081278e-01 	 2.437850e-02 	 1.531746e-01 	 6.265678e-01 
4.625605e-01 	 2.077059e-01 	 2.435756e-02 	 1.530430e-01 	 6.277746e-01 
4.639895e-01 	 2.072834e-01 	 2.433648e-02 	 1.529106e-01 	 6.289774e-01 
4.654185e-01 	 2.068604e-01 	 2.431527e-02 	 1.527774e-01 	 6.301761e-01 
4.668475e-01 	 2.064370e-01 	 2.429394e-02 	 1.526433e-01 	 6.313710e-01 
4.682765e-01 	 2.060130e-01 	 2.427248e-02 	 1.525085e-01 	 6.325618e-01 
4.697054e-01 	 2.055908e-01 	 2.425112e-02 	 1.523743e-01 	 6.337495e-01 
4.711344e-01 	 2.051659e-01 	 2.422940e-02 	 1.522378e-01 	 6.349324e-01 
4.725634e-01 	 2.047399e-01 	 2.420747e-02 	 1.521001e-01 	 6.361113e-01 
4.739924e-01 	 2.043138e-01 	 2.418547e-02 	 1.519618e-01 	 6.372863e-01 
4.754214e-01 	 2.038874e-01 	 2.416336e-02 	 1.518228e-01 	 6.384573e-01 
4.768503e-01 	 2.034629e-01 	 2.414136e-02 	 1.516846e-01 	 6.396253e-01 
4.782793e-01 	 2.030354e-01 	 2.411897e-02 	 1.515440e-01 	 6.407884e-01 
4.797083e-01 	 2.026073e-01 	 2.409644e-02 	 1.514024e-01 	 6.419476e-01 
4.811373e-01 	 2.021789e-01 	 2.407379e-02 	 1.512601e-01 	 6.431028e-01 
4.825663e-01 	 2.017499e-01 	 2.405100e-02 	 1.511169e-01 	 6.442541e-01 
4.839952e-01 	 2.013203e-01 	 2.402807e-02 	 1.509728e-01 	 6.454014e-01 
4.854242e-01 	 2.008903e-01 	 2.400501e-02 	 1.508280e-01 	 6.465448e-01 
4.868532e-01 	 2.004599e-01 	 2.398182e-02 	 1.506822e-01 	 6.476843e-01 
4.882822e-01 	 2.000313e-01 	 2.395876e-02 	 1.505373e-01 	 6.488206e-01 
4.897112e-01 	 1.995998e-01 	 2.393530e-02 	 1.503899e-01 	 6.499522e-01 
4.911401e-01 	 1.991678e-01 	 2.391169e-02 	 1.502416e-01 	 6.510799e-01 
4.925691e-01 	 1.987351e-01 	 2.388795e-02 	 1.500924e-01 	 6.522035e-01 
4.939981e-01 	 1.983022e-01 	 2.386408e-02 	 1.499424e-01 	 6.533234e-01 
4.954271e-01 	 1.978687e-01 	 2.384008e-02 	 1.497916e-01 	 6.544393e-01 
4.968561e-01 	 1.974346e-01 	 2.381592e-02 	 1.496398e-01 	 6.555512e-01 
4.982850e-01 	 1.970001e-01 	 2.379164e-02 	 1.494873e-01 	 6.566592e-01 
4.997140e-01 	 1.965677e-01 	 2.376751e-02 	 1.493356e-01 	 6.577642e-01 
5.011430e-01 	 1.961322e-01 	 2.374295e-02 	 1.491813e-01 	 6.588644e-01 
5.025720e-01 	 1.956961e-01 	 2.371824e-02 	 1.490261e-01 	 6.599606e-01 
5.040010e-01 	 1.952596e-01 	 2.369341e-02 	 1.488701e-01 	 6.610530e-01 
5.054299e-01 	 1.948226e-01 	 2.366844e-02 	 1.487132e-01 	 6.621415e-01 
5.068589e-01 	 1.943849e-01 	 2.364331e-02 	 1.485553e-01 	 6.632260e-01 
5.082879e-01 	 1.939469e-01 	 2.361806e-02 	 1.483967e-01 	 6.643066e-01 
5.097169e-01 	 1.935084e-01 	 2.359267e-02 	 1.482371e-01 	 6.653833e-01 
5.111459e-01 	 1.930693e-01 	 2.356713e-02 	 1.480767e-01 	 6.664561e-01 
5.125748e-01 	 1.925675e-01 	 2.353987e-02 	 1.479054e-01 	 6.673540e-01 
5.140038e-01 	 1.921272e-01 	 2.351404e-02 	 1.477431e-01 	 6.684179e-01 
5.154328e-01 	 1.917518e-01 	 2.348998e-02 	 1.475919e-01 	 6.696518e-01 
5.168618e-01 	 1.913108e-01 	 2.346388e-02 	 1.474279e-01 	 6.707090e-01 
5.182908e-01 	 1.908692e-01 	 2.343764e-02 	 1.472630e-01 	 6.717623e-01 
5.197197e-01 	 1.904272e-01 	 2.341126e-02 	 1.470973e-01 	 6.728116e-01 
5.211487e-01 	 1.899846e-01 	 2.338473e-02 	 1.469306e-01 	 6.738571e-01 
5.225777e-01 	 1.895416e-01 	 2.335807e-02 	 1.467631e-01 	 6.748987e-01 
5.240067e-01 	 1.890980e-01 	 2.333126e-02 	 1.465946e-01 	 6.759363e-01 
5.254357e-01 	 1.886540e-01 	 2.330430e-02 	 1.464253e-01 	 6.769701e-01 
5.268646e-01 	 1.882094e-01 	 2.327721e-02 	 1.462550e-01 	 6.780000e-01 
5.282936e-01 	 1.877644e-01 	 2.324997e-02 	 1.460839e-01 	 6.790259e-01 
5.297226e-01 	 1.873188e-01 	 2.322258e-02 	 1.459118e-01 	 6.800480e-01 
5.311516e-01 	 1.868728e-01 	 2.319505e-02 	 1.457388e-01 	 6.810661e-01 
5.325806e-01 	 1.864262e-01 	 2.316738e-02 	 1.455649e-01 	 6.820804e-01 
5.340095e-01 	 1.859791e-01 	 2.313955e-02 	 1.453901e-01 	 6.830907e-01 
5.354385e-01 	 1.855316e-01 	 2.311159e-02 	 1.452144e-01 	 6.840971e-01 
5.368675e-01 	 1.850835e-01 	 2.308348e-02 	 1.450378e-01 	 6.850996e-01 
5.382965e-01 	 1.846349e-01 	 2.305522e-02 	 1.448602e-01 	 6.860983e-01 
5.397255e-01 	 1.841859e-01 	 2.302682e-02 	 1.446817e-01 	 6.870930e-01 
5.411544e-01 	 1.837364e-01 	 2.299827e-02 	 1.445024e-01 	 6.880839e-01 
5.425834e-01 	 1.832863e-01 	 2.296957e-02 	 1.443221e-01 	 6.890708e-01 
5.440124e-01 	 1.828357e-01 	 2.294072e-02 	 1.441408e-01 	 6.900537e-01 
5.454414e-01 	 1.823846e-01 	 2.291173e-02 	 1.439586e-01 	 6.910328e-01 
5.468704e-01 	 1.819325e-01 	 2.288252e-02 	 1.437751e-01 	 6.920080e-01 
5.482993e-01 	 1.814804e-01 	 2.285322e-02 	 1.435910e-01 	 6.929793e-01 
5.497283e-01 	 1.810279e-01 	 2.282378e-02 	 1.434061e-01 	 6.939466e-01 
5.511573e-01 	 1.805748e-01 	 2.279420e-02 	 1.432202e-01 	 6.949101e-01 
5.525863e-01 	 1.801212e-01 	 2.276445e-02 	 1.430333e-01 	 6.958696e-01 
5.540153e-01 	 1.796672e-01 	 2.273457e-02 	 1.428455e-01 	 6.968252e-01 
5.554442e-01 	 1.792127e-01 	 2.270454e-02 	 1.426568e-01 	 6.977770e-01 
5.568732e-01 	 1.787576e-01 	 2.267434e-02 	 1.424671e-01 	 6.987248e-01 
5.583022e-01 	 1.783020e-01 	 2.264401e-02 	 1.422765e-01 	 6.996687e-01 
5.597312e-01 	 1.778459e-01 	 2.261352e-02 	 1.420849e-01 	 7.006086e-01 
5.611602e-01 	 1.773894e-01 	 2.258288e-02 	 1.418924e-01 	 7.015447e-01 
5.625891e-01 	 1.769323e-01 	 2.255208e-02 	 1.416989e-01 	 7.024768e-01 
5.640181e-01 	 1.764748e-01 	 2.252115e-02 	 1.415045e-01 	 7.034050e-01 
5.654471e-01 	 1.760168e-01 	 2.249006e-02 	 1.413092e-01 	 7.043293e-01 
5.668761e-01 	 1.755582e-01 	 2.245880e-02 	 1.411128e-01 	 7.052496e-01 
5.683051e-01 	 1.750992e-01 	 2.242740e-02 	 1.409155e-01 	 7.061660e-01 
5.697340e-01 	 1.746396e-01 	 2.239585e-02 	 1.407173e-01 	 7.070785e-01 
5.711630e-01 	 1.741795e-01 	 2.236413e-02 	 1.405180e-01 	 7.079869e-01 
5.725920e-01 	 1.737190e-01 	 2.233227e-02 	 1.403178e-01 	 7.088915e-01 
5.740210e-01 	 1.732579e-01 	 2.230026e-02 	 1.401166e-01 	 7.097921e-01 
5.754500e-01 	 1.727964e-01 	 2.226809e-02 	 1.399145e-01 	 7.106888e-01 
5.768789e-01 	 1.723343e-01 	 2.223576e-02 	 1.397114e-01 	 7.115815e-01 
5.783079e-01 	 1.718718e-01 	 2.220328e-02 	 1.395073e-01 	 7.124702e-01 
5.797369e-01 	 1.714087e-01 	 2.217064e-02 	 1.393023e-01 	 7.133550e-01 
5.811659e-01 	 1.709451e-01 	 2.213785e-02 	 1.390962e-01 	 7.142358e-01 
5.825949e-01 	 1.704811e-01 	 2.210490e-02 	 1.388892e-01 	 7.151126e-01 
5.840238e-01 	 1.700166e-01 	 2.207180e-02 	 1.386812e-01 	 7.159855e-01 
5.854528e-01 	 1.695515e-01 	 2.203853e-02 	 1.384722e-01 	 7.168545e-01 
5.868818e-01 	 1.690860e-01 	 2.200512e-02 	 1.382622e-01 	 7.177194e-01 
5.883108e-01 	 1.686199e-01 	 2.197154e-02 	 1.380513e-01 	 7.185803e-01 
5.897398e-01 	 1.681534e-01 	 2.193781e-02 	 1.378393e-01 	 7.194373e-01 
5.911687e-01 	 1.676864e-01 	 2.190392e-02 	 1.376264e-01 	 7.202903e-01 
5.925977e-01 	 1.672188e-01 	 2.186987e-02 	 1.374124e-01 	 7.211392e-01 
5.940267e-01 	 1.667508e-01 	 2.183566e-02 	 1.371975e-01 	 7.219842e-01 
5.954557e-01 	 1.662822e-01 	 2.180129e-02 	 1.369815e-01 	 7.228251e-01 
5.968847e-01 	 1.658132e-01 	 2.176676e-02 	 1.367646e-01 	 7.236620e-01 
5.983136e-01 	 1.653437e-01 	 2.173208e-02 	 1.365467e-01 	 7.244950e-01 
5.997426e-01 	 1.648737e-01 	 2.169723e-02 	 1.363277e-01 	 7.253239e-01 
6.011716e-01 	 1.644032e-01 	 2.166223e-02 	 1.361078e-01 	 7.261487e-01 
6.026006e-01 	 1.639321e-01 	 2.162706e-02 	 1.358869e-01 	 7.269695e-01 
6.040296e-01 	 1.634606e-01 	 2.159174e-02 	 1.356649e-01 	 7.277863e-01 
6.054585e-01 	 1.629886e-01 	 2.155625e-02 	 1.354419e-01 	 7.285990e-01 
6.068875e-01 	 1.625161e-01 	 2.152060e-02 	 1.352179e-01 	 7.294078e-01 
6.083165e-01 	 1.620431e-01 	 2.148479e-02 	 1.349929e-01 	 7.302123e-01 
6.097455e-01 	 1.615696e-01 	 2.144882e-02 	 1.347669e-01 	 7.310129e-01 
6.111745e-01 	 1.610956e-01 	 2.141268e-02 	 1.345398e-01 	 7.318093e-01 
6.126034e-01 	 1.606211e-01 	 2.137639e-02 	 1.343118e-01 	 7.326018e-01 
6.140324e-01 	 1.601461e-01 	 2.133992e-02 	 1.340827e-01 	 7.333900e-01 
6.154614e-01 	 1.596706e-01 	 2.130330e-02 	 1.338526e-01 	 7.341742e-01 
6.168904e-01 	 1.591946e-01 	 2.126651e-02 	 1.336214e-01 	 7.349543e-01 
6.183194e-01 	 1.587182e-01 	 2.122956e-02 	 1.333893e-01 	 7.357303e-01 
6.197483e-01 	 1.582412e-01 	 2.119244e-02 	 1.331561e-01 	 7.365021e-01 
6.211773e-01 	 1.577638e-01 	 2.115517e-02 	 1.329218e-01 	 7.372699e-01 
6.226063e-01 	 1.572858e-01 	 2.111772e-02 	 1.326866e-01 	 7.380335e-01 
6.240353e-01 	 1.568073e-01 	 2.108011e-02 	 1.324503e-01 	 7.387929e-01 
6.254643e-01 	 1.563284e-01 	 2.104234e-02 	 1.322129e-01 	 7.395482e-01 
6.268932e-01 	 1.558489e-01 	 2.100440e-02 	 1.319745e-01 	 7.402993e-01 
6.283222e-01 	 1.553690e-01 	 2.096629e-02 	 1.317351e-01 	 7.410462e-01 
6.297512e-01 	 1.548885e-01 	 2.092801e-02 	 1.314946e-01 	 7.417889e-01 
6.311802e-01 	 1.544076e-01 	 2.088958e-02 	 1.312531e-01 	 7.425275e-01 
6.326092e-01 	 1.539262e-01 	 2.085097e-02 	 1.310105e-01 	 7.432619e-01 
6.340381e-01 	 1.534443e-01 	 2.081220e-02 	 1.307669e-01 	 7.439920e-01 
6.354671e-01 	 1.529618e-01 	 2.077325e-02 	 1.305222e-01 	 7.447179e-01 
6.368961e-01 	 1.524790e-01 	 2.073415e-02 	 1.302765e-01 	 7.454397e-01 
6.383251e-01 	 1.519956e-01 	 2.069487e-02 	 1.300297e-01 	 7.461571e-01 
6.397541e-01 	 1.515117e-01 	 2.065542e-02 	 1.297819e-01 	 7.468702e-01 
6.411830e-01 	 1.510273e-01 	 2.061581e-02 	 1.295329e-01 	 7.475791e-01 
6.426120e-01 	 1.505424e-01 	 2.057602e-02 	 1.292830e-01 	 7.482837e-01 
6.440410e-01 	 1.500571e-01 	 2.053607e-02 	 1.290320e-01 	 7.489841e-01 
6.454700e-01 	 1.495705e-01 	 2.049587e-02 	 1.287793e-01 	 7.496796e-01 
6.468990e-01 	 1.490841e-01 	 2.045557e-02 	 1.285261e-01 	 7.503713e-01 
6.483279e-01 	 1.485972e-01 	 2.041511e-02 	 1.282719e-01 	 7.510586e-01 
6.497569e-01 	 1.481099e-01 	 2.037447e-02 	 1.280166e-01 	 7.517417e-01 
6.511859e-01 	 1.476221e-01 	 2.033367e-02 	 1.277602e-01 	 7.524204e-01 
6.526149e-01 	 1.471337e-01 	 2.029269e-02 	 1.275027e-01 	 7.530946e-01 
6.540439e-01 	 1.466448e-01 	 2.025154e-02 	 1.272442e-01 	 7.537645e-01 
6.554728e-01 	 1.461556e-01 	 2.021023e-02 	 1.269846e-01 	 7.544301e-01 
6.569018e-01 	 1.456657e-01 	 2.016873e-02 	 1.267239e-01 	 7.550912e-01 
6.583308e-01 	 1.451754e-01 	 2.012707e-02 	 1.264621e-01 	 7.557478e-01 
6.597598e-01 	 1.446846e-01 	 2.008523e-02 	 1.261992e-01 	 7.564000e-01 
6.611888e-01 	 1.441933e-01 	 2.004322e-02 	 1.259353e-01 	 7.570478e-01 
6.626177e-01 	 1.437015e-01 	 2.000103e-02 	 1.256702e-01 	 7.576910e-01 
6.640467e-01 	 1.432092e-01 	 1.995868e-02 	 1.254041e-01 	 7.583298e-01 
6.654757e-01 	 1.427165e-01 	 1.991614e-02 	 1.251368e-01 	 7.589640e-01 
6.669047e-01 	 1.422234e-01 	 1.987346e-02 	 1.248686e-01 	 7.595943e-01 
6.683337e-01 	 1.417297e-01 	 1.983057e-02 	 1.245992e-01 	 7.602195e-01 
6.697626e-01 	 1.412354e-01 	 1.978751e-02 	 1.243286e-01 	 7.608401e-01 
6.711916e-01 	 1.407406e-01 	 1.974428e-02 	 1.240570e-01 	 7.614562e-01 
6.726206e-01 	 1.402455e-01 	 1.970088e-02 	 1.237843e-01 	 7.620677e-01 
6.740496e-01 	 1.397497e-01 	 1.965729e-02 	 1.235104e-01 	 7.626746e-01 
6.754786e-01 	 1.392535e-01 	 1.961353e-02 	 1.232355e-01 	 7.632768e-01 
6.769075e-01 	 1.387568e-01 	 1.956960e-02 	 1.229594e-01 	 7.638744e-01 
6.783365e-01 	 1.382597e-01 	 1.952549e-02 	 1.226823e-01 	 7.644673e-01 
6.797655e-01 	 1.377620e-01 	 1.948120e-02 	 1.224040e-01 	 7.650556e-01 
6.811945e-01 	 1.372638e-01 	 1.943673e-02 	 1.221246e-01 	 7.656390e-01 
6.826235e-01 	 1.367651e-01 	 1.939209e-02 	 1.218441e-01 	 7.662178e-01 
6.840524e-01 	 1.362660e-01 	 1.934727e-02 	 1.215625e-01 	 7.667918e-01 
6.854814e-01 	 1.357665e-01 	 1.930227e-02 	 1.212798e-01 	 7.673611e-01 
6.869104e-01 	 1.352663e-01 	 1.925709e-02 	 1.209959e-01 	 7.679255e-01 
6.883394e-01 	 1.347657e-01 	 1.921174e-02 	 1.207109e-01 	 7.684852e-01 
6.897684e-01 	 1.342646e-01 	 1.916620e-02 	 1.204248e-01 	 7.690399e-01 
6.911973e-01 	 1.337630e-01 	 1.912048e-02 	 1.201375e-01 	 7.695898e-01 
6.926263e-01 	 1.332609e-01 	 1.907459e-02 	 1.198492e-01 	 7.701349e-01 
6.940553e-01 	 1.327584e-01 	 1.902851e-02 	 1.195597e-01 	 7.706750e-01 
6.954843e-01 	 1.322553e-01 	 1.898225e-02 	 1.192690e-01 	 7.712101e-01 
6.969133e-01 	 1.317517e-01 	 1.893582e-02 	 1.189772e-01 	 7.717403e-01 
6.983422e-01 	 1.312478e-01 	 1.888921e-02 	 1.186844e-01 	 7.722656e-01 
6.997712e-01 	 1.307433e-01 	 1.884241e-02 	 1.183904e-01 	 7.727858e-01 
7.012002e-01 	 1.302382e-01 	 1.879543e-02 	 1.180951e-01 	 7.733009e-01 
7.026292e-01 	 1.297328e-01 	 1.874827e-02 	 1.177988e-01 	 7.738110e-01 
7.040582e-01 	 1.292268e-01 	 1.870092e-02 	 1.175014e-01 	 7.743159e-01 
7.054871e-01 	 1.287203e-01 	 1.865340e-02 	 1.172028e-01 	 7.748158e-01 
7.069161e-01 	 1.282134e-01 	 1.860568e-02 	 1.169030e-01 	 7.753104e-01 
7.083451e-01 	 1.277060e-01 	 1.855780e-02 	 1.166021e-01 	 7.758000e-01 
7.097741e-01 	 1.271980e-01 	 1.850972e-02 	 1.163000e-01 	 7.762842e-01 
7.112031e-01 	 1.266896e-01 	 1.846146e-02 	 1.159968e-01 	 7.767632e-01 
7.126320e-01 	 1.261807e-01 	 1.841302e-02 	 1.156924e-01 	 7.772369e-01 
7.140610e-01 	 1.256713e-01 	 1.836439e-02 	 1.153869e-01 	 7.777054e-01 
7.154900e-01 	 1.251615e-01 	 1.831558e-02 	 1.150802e-01 	 7.781685e-01 
7.169190e-01 	 1.246511e-01 	 1.826658e-02 	 1.147723e-01 	 7.786261e-01 
7.183480e-01 	 1.241403e-01 	 1.821740e-02 	 1.144633e-01 	 7.790785e-01 
7.197769e-01 	 1.236289e-01 	 1.816803e-02 	 1.141531e-01 	 7.795253e-01 
7.212059e-01 	 1.231171e-01 	 1.811848e-02 	 1.138418e-01 	 7.799666e-01 
7.226349e-01 	 1.226048e-01 	 1.806874e-02 	 1.135293e-01 	 7.804025e-01 
7.240639e-01 	 1.220921e-01 	 1.801882e-02 	 1.132156e-01 	 7.808328e-01 
7.254929e-01 	 1.215788e-01 	 1.796871e-02 	 1.129007e-01 	 7.812575e-01 
7.269218e-01 	 1.210651e-01 	 1.791841e-02 	 1.125847e-01 	 7.816766e-01 
7.283508e-01 	 1.205507e-01 	 1.786792e-02 	 1.122675e-01 	 7.820899e-01 
7.297798e-01 	 1.200360e-01 	 1.781725e-02 	 1.119491e-01 	 7.824975e-01 
7.312088e-01 	 1.195208e-01 	 1.776639e-02 	 1.116295e-01 	 7.828994e-01 
7.326378e-01 	 1.190052e-01 	 1.771534e-02 	 1.113088e-01 	 7.832956e-01 
7.340667e-01 	 1.184890e-01 	 1.766411e-02 	 1.109869e-01 	 7.836859e-01 
7.354957e-01 	 1.179724e-01 	 1.761269e-02 	 1.106638e-01 	 7.840704e-01 
7.369247e-01 	 1.174552e-01 	 1.756106e-02 	 1.103394e-01 	 7.844488e-01 
7.383537e-01 	 1.169375e-01 	 1.750926e-02 	 1.100139e-01 	 7.848213e-01 
7.397827e-01 	 1.164195e-01 	 1.745727e-02 	 1.096873e-01 	 7.851879e-01 
7.412116e-01 	 1.159009e-01 	 1.740509e-02 	 1.093594e-01 	 7.855484e-01 
7.426406e-01 	 1.153818e-01 	 1.735271e-02 	 1.090303e-01 	 7.859027e-01 
7.440696e-01 	 1.148622e-01 	 1.730014e-02 	 1.087000e-01 	 7.862508e-01 
7.454986e-01 	 1.143422e-01 	 1.724739e-02 	 1.083686e-01 	 7.865929e-01 
7.469276e-01 	 1.138218e-01 	 1.719446e-02 	 1.080360e-01 	 7.869287e-01 
7.483565e-01 	 1.133007e-01 	 1.714132e-02 	 1.077021e-01 	 7.872581e-01 
7.497855e-01 	 1.127792e-01 	 1.708799e-02 	 1.073670e-01 	 7.875811e-01 
7.512145e-01 	 1.122572e-01 	 1.703446e-02 	 1.070307e-01 	 7.878977e-01 
7.526435e-01 	 1.117348e-01 	 1.698075e-02 	 1.066932e-01 	 7.882080e-01 
7.540724e-01 	 1.112119e-01 	 1.692685e-02 	 1.063546e-01 	 7.885117e-01 
7.555014e-01 	 1.106884e-01 	 1.687275e-02 	 1.060146e-01 	 7.888087e-01 
7.569304e-01 	 1.101645e-01 	 1.681846e-02 	 1.056735e-01 	 7.890992e-01 
7.583594e-01 	 1.096402e-01 	 1.676398e-02 	 1.053312e-01 	 7.893830e-01 
7.597884e-01 	 1.091155e-01 	 1.670932e-02 	 1.049878e-01 	 7.896602e-01 
7.612173e-01 	 1.085900e-01 	 1.665444e-02 	 1.046429e-01 	 7.899302e-01 
7.626463e-01 	 1.080641e-01 	 1.659937e-02 	 1.042969e-01 	 7.901934e-01 
7.640753e-01 	 1.075379e-01 	 1.654411e-02 	 1.039497e-01 	 7.904498e-01 
7.655043e-01 	 1.070111e-01 	 1.648865e-02 	 1.036013e-01 	 7.906992e-01 
7.669333e-01 	 1.064839e-01 	 1.643302e-02 	 1.032517e-01 	 7.909416e-01 
7.683622e-01 	 1.059561e-01 	 1.637716e-02 	 1.029008e-01 	 7.911766e-01 
7.697912e-01 	 1.054279e-01 	 1.632112e-02 	 1.025486e-01 	 7.914045e-01 
7.712202e-01 	 1.048992e-01 	 1.626489e-02 	 1.021953e-01 	 7.916251e-01 
7.726492e-01 	 1.043700e-01 	 1.620846e-02 	 1.018408e-01 	 7.918384e-01 
7.740782e-01 	 1.038403e-01 	 1.615183e-02 	 1.014849e-01 	 7.920442e-01 
7.755071e-01 	 1.033101e-01 	 1.609499e-02 	 1.011278e-01 	 7.922424e-01 
7.769361e-01 	 1.027790e-01 	 1.603791e-02 	 1.007691e-01 	 7.924324e-01 
7.783651e-01 	 1.022478e-01 	 1.598068e-02 	 1.004096e-01 	 7.926153e-01 
7.797941e-01 	 1.017163e-01 	 1.592326e-02 	 1.000488e-01 	 7.927907e-01 
7.812231e-01 	 1.011844e-01 	 1.586566e-02 	 9.968691e-02 	 7.929583e-01 
7.826520e-01 	 1.006518e-01 	 1.580785e-02 	 9.932363e-02 	 7.931178e-01 
7.840810e-01 	 1.001188e-01 	 1.574984e-02 	 9.895915e-02 	 7.932694e-01 
7.855100e-01 	 9.958525e-02 	 1.569162e-02 	 9.859334e-02 	 7.934127e-01 
7.869390e-01 	 9.905126e-02 	 1.563320e-02 	 9.822632e-02 	 7.935480e-01 
7.883680e-01 	 9.851679e-02 	 1.557459e-02 	 9.785804e-02 	 7.936750e-01 
7.897969e-01 	 9.798191e-02 	 1.551579e-02 	 9.748858e-02 	 7.937937e-01 
7.912259e-01 	 9.744648e-02 	 1.545678e-02 	 9.711778e-02 	 7.939038e-01 
7.926549e-01 	 9.691060e-02 	 1.539757e-02 	 9.674576e-02 	 7.940054e-01 
7.940839e-01 	 9.637423e-02 	 1.533816e-02 	 9.637247e-02 	 7.940984e-01 
7.955129e-01 	 9.583747e-02 	 1.527855e-02 	 9.599799e-02 	 7.941827e-01 
7.969418e-01 	 9.530008e-02 	 1.521873e-02 	 9.562212e-02 	 7.942579e-01 
7.983708e-01 	 9.476236e-02 	 1.515873e-02 	 9.524510e-02 	 7.943243e-01 
7.997998e-01 	 9.422406e-02 	 1.509851e-02 	 9.486674e-02 	 7.943815e-01 
8.012288e-01 	 9.368531e-02 	 1.503809e-02 	 9.448713e-02 	 7.944296e-01 
8.026578e-01 	 9.314613e-02 	 1.497748e-02 	 9.410628e-02 	 7.944684e-01 
