J 	 kT 	 kQ 	 kP 	 etaP 
3.239495e-01 	 2.462468e-01 	 2.582852e-02 	 1.622854e-01 	 4.915509e-01 
3.253785e-01 	 2.458618e-01 	 2.581770e-02 	 1.622174e-01 	 4.931537e-01 
3.268074e-01 	 2.455005e-01 	 2.580869e-02 	 1.621608e-01 	 4.947646e-01 
3.282364e-01 	 2.451261e-01 	 2.579856e-02 	 1.620971e-01 	 4.963648e-01 
3.296654e-01 	 2.447389e-01 	 2.578738e-02 	 1.620269e-01 	 4.979540e-01 
3.310944e-01 	 2.443632e-01 	 2.577703e-02 	 1.619619e-01 	 4.995452e-01 
3.325234e-01 	 2.439987e-01 	 2.576752e-02 	 1.619021e-01 	 5.011379e-01 
3.339523e-01 	 2.436218e-01 	 2.575695e-02 	 1.618357e-01 	 5.027201e-01 
3.353813e-01 	 2.432462e-01 	 2.574645e-02 	 1.617697e-01 	 5.042986e-01 
3.368103e-01 	 2.428674e-01 	 2.573561e-02 	 1.617016e-01 	 5.058715e-01 
3.382393e-01 	 2.424895e-01 	 2.572478e-02 	 1.616336e-01 	 5.074409e-01 
3.396683e-01 	 2.421121e-01 	 2.571394e-02 	 1.615655e-01 	 5.090061e-01 
3.410972e-01 	 2.417328e-01 	 2.570288e-02 	 1.614959e-01 	 5.105664e-01 
3.425262e-01 	 2.413548e-01 	 2.569187e-02 	 1.614268e-01 	 5.121230e-01 
3.439552e-01 	 2.409737e-01 	 2.568053e-02 	 1.613555e-01 	 5.136740e-01 
3.453842e-01 	 2.405942e-01 	 2.566927e-02 	 1.612848e-01 	 5.152217e-01 
3.468132e-01 	 2.402024e-01 	 2.565695e-02 	 1.612074e-01 	 5.167590e-01 
3.482421e-01 	 2.398329e-01 	 2.564636e-02 	 1.611408e-01 	 5.183039e-01 
3.496711e-01 	 2.394512e-01 	 2.563472e-02 	 1.610677e-01 	 5.198383e-01 
3.511001e-01 	 2.390681e-01 	 2.562290e-02 	 1.609935e-01 	 5.213681e-01 
3.525291e-01 	 2.386848e-01 	 2.561100e-02 	 1.609186e-01 	 5.228936e-01 
3.539581e-01 	 2.383040e-01 	 2.559923e-02 	 1.608447e-01 	 5.244163e-01 
3.553870e-01 	 2.379201e-01 	 2.558716e-02 	 1.607689e-01 	 5.259333e-01 
3.568160e-01 	 2.375352e-01 	 2.557493e-02 	 1.606920e-01 	 5.274460e-01 
3.582450e-01 	 2.371491e-01 	 2.556255e-02 	 1.606142e-01 	 5.289536e-01 
3.596740e-01 	 2.367664e-01 	 2.555038e-02 	 1.605377e-01 	 5.304591e-01 
3.611030e-01 	 2.363799e-01 	 2.553782e-02 	 1.604589e-01 	 5.319587e-01 
3.625319e-01 	 2.359930e-01 	 2.552517e-02 	 1.603794e-01 	 5.334539e-01 
3.639609e-01 	 2.356055e-01 	 2.551241e-02 	 1.602992e-01 	 5.349446e-01 
3.653899e-01 	 2.352200e-01 	 2.549974e-02 	 1.602196e-01 	 5.364326e-01 
3.668189e-01 	 2.348318e-01 	 2.548678e-02 	 1.601382e-01 	 5.379152e-01 
3.682479e-01 	 2.344431e-01 	 2.547370e-02 	 1.600560e-01 	 5.393935e-01 
3.696768e-01 	 2.340537e-01 	 2.546050e-02 	 1.599730e-01 	 5.408675e-01 
3.711058e-01 	 2.336643e-01 	 2.544725e-02 	 1.598898e-01 	 5.423374e-01 
3.725348e-01 	 2.332766e-01 	 2.543407e-02 	 1.598070e-01 	 5.438040e-01 
3.739638e-01 	 2.328856e-01 	 2.542053e-02 	 1.597219e-01 	 5.452650e-01 
3.753928e-01 	 2.324967e-01 	 2.540712e-02 	 1.596376e-01 	 5.467230e-01 
3.768217e-01 	 2.321045e-01 	 2.539334e-02 	 1.595510e-01 	 5.481757e-01 
3.782507e-01 	 2.317120e-01 	 2.537947e-02 	 1.594639e-01 	 5.496242e-01 
3.796797e-01 	 2.313192e-01 	 2.536551e-02 	 1.593762e-01 	 5.510686e-01 
3.811087e-01 	 2.309265e-01 	 2.535149e-02 	 1.592881e-01 	 5.525089e-01 
3.825377e-01 	 2.305324e-01 	 2.533729e-02 	 1.591989e-01 	 5.539445e-01 
3.839666e-01 	 2.301383e-01 	 2.532300e-02 	 1.591091e-01 	 5.553763e-01 
3.853956e-01 	 2.297435e-01 	 2.530859e-02 	 1.590186e-01 	 5.568037e-01 
3.868246e-01 	 2.293509e-01 	 2.529432e-02 	 1.589289e-01 	 5.582281e-01 
3.882536e-01 	 2.289551e-01 	 2.527969e-02 	 1.588370e-01 	 5.596472e-01 
3.896826e-01 	 2.285588e-01 	 2.526494e-02 	 1.587443e-01 	 5.610620e-01 
3.911115e-01 	 2.281615e-01 	 2.525002e-02 	 1.586506e-01 	 5.624725e-01 
3.925405e-01 	 2.277642e-01 	 2.523505e-02 	 1.585565e-01 	 5.638790e-01 
3.939695e-01 	 2.273693e-01 	 2.522023e-02 	 1.584634e-01 	 5.652825e-01 
3.953985e-01 	 2.269685e-01 	 2.520479e-02 	 1.583664e-01 	 5.666796e-01 
